state,region
AK,0
AL,7
AR,2
AZ,8
CA,1
CO,8
CT,4
DC,3
DE,3
FL,7
GA,7
HI,0
IA,5
ID,6
IL,5
IN,5
KS,2
KY,7
LA,2
MA,4
MD,3
ME,4
MI,5
MN,5
MO,2
MS,7
MT,6
NC,7
ND,5
NE,2
NH,4
NJ,3
NM,8
NV,8
NY,4
OH,3
OK,2
OR,6
PA,3
RI,4
SC,7
SD,2
TN,7
TX,9
UT,8
VA,3
VT,4
WA,6
WI,5
WV,3
WY,6
