fuel_type,BNSF,UP,NS,CSXT,CN,CP,KCS,Total
diesel,0.005,0.005,0.006,0.005,0.005,0.004,0.005,0.005
biodiesel,0.007,0.008,0.008,0.007,0.007,0.006,0.007,0.007
e-fuel,0.010,0.011,0.012,0.010,0.010,0.009,0.010,0.011
