Number of Locomotive,Locomotive Battery Capacity,Locomotive per charger,Charger Type,Electricity Rate,Total energy [MWh],Total Charger Needed,Total Charging Time per locomotive [hrs],Station Utilization,Capital cost [$/kWh],O&M less energy [$/kWh],Energy [$/kWh],Total charging cost [$/kWh],Charging station capital investment,Annual O&M cost (w/energy cost)
49,10000,4,"3000kW, Pantograph",US,490,13,3.5,0.5833,0.0243,0.0088,0.1014,0.1346,20271496.3,16337696.6
49,10000,5,"3000kW, Pantograph",US,490,10,3.5,0.7292,0.0203,0.0072,0.1014,0.1289,16231197.04,16116646.21
49,10000,6,"3000kW, Pantograph",US,490,9,3.5,0.875,0.0176,0.0062,0.1014,0.1252,13537664.2,15969279.28
50,10000,1,"3000kW, Pantograph",US,500,50,3.5,0.1458,0.0844,0.0325,0.1014,0.2183,81997438.73,20035965.49
50,10000,2,"3000kW, Pantograph",US,500,25,3.5,0.2917,0.0443,0.0167,0.1014,0.1624,41033719.36,17788407.85
50,10000,3,"3000kW, Pantograph",US,500,17,3.5,0.4375,0.0309,0.0114,0.1014,0.1437,27379146.24,17039221.97
50,10000,4,"3000kW, Pantograph",US,500,13,3.5,0.5833,0.0242,0.0088,0.1014,0.1344,20551859.68,16664629.03
50,10000,5,"3000kW, Pantograph",US,500,10,3.5,0.7292,0.0202,0.0072,0.1014,0.1288,16455487.75,16439873.27
50,10000,6,"3000kW, Pantograph",US,500,9,3.5,0.875,0.0175,0.0061,0.1014,0.1251,13724573.12,16290036.09
51,10000,1,"3000kW, Pantograph",US,510,51,3.5,0.1458,0.0847,0.0325,0.1014,0.2186,83980717.66,20444803.32
51,10000,2,"3000kW, Pantograph",US,510,26,3.5,0.2917,0.0444,0.0167,0.1014,0.1625,42025358.83,18147029.56
51,10000,3,"3000kW, Pantograph",US,510,17,3.5,0.4375,0.0311,0.0114,0.1014,0.144,28183876.78,17385492.45
51,10000,4,"3000kW, Pantograph",US,510,13,3.5,0.5833,0.0245,0.0088,0.1014,0.1347,21263135.76,17004723.89
51,10000,5,"3000kW, Pantograph",US,510,11,3.5,0.7292,0.0205,0.0072,0.1014,0.1291,17110691.15,16776262.76
51,10000,6,"3000kW, Pantograph",US,510,9,3.5,0.875,0.0178,0.0062,0.1014,0.1254,14342394.74,16623955.34
52,10000,1,"3000kW, Pantograph",US,520,52,3.5,0.1458,0.0846,0.0325,0.1014,0.2185,85533083.89,20840478.73
52,10000,2,"3000kW, Pantograph",US,520,26,3.5,0.2917,0.0446,0.0167,0.1014,0.1627,43016998.29,18505651.27
52,10000,3,"3000kW, Pantograph",US,520,18,3.5,0.4375,0.031,0.0114,0.1014,0.1438,28557694.63,17718600.5
52,10000,4,"3000kW, Pantograph",US,520,13,3.5,0.5833,0.0244,0.0088,0.1014,0.1345,21543499.15,17331656.33
52,10000,5,"3000kW, Pantograph",US,520,11,3.5,0.7292,0.0204,0.0072,0.1014,0.129,17334981.86,17099489.82
52,10000,6,"3000kW, Pantograph",US,520,9,3.5,0.875,0.0178,0.0061,0.1014,0.1253,14529303.66,16944712.15
53,10000,1,"3000kW, Pantograph",US,530,53,3.5,0.1458,0.0845,0.0325,0.1014,0.2184,87085450.13,21236154.13
53,10000,2,"3000kW, Pantograph",US,530,27,3.5,0.2917,0.0443,0.0166,0.1014,0.1624,43577725.06,18851110.55
53,10000,3,"3000kW, Pantograph",US,530,18,3.5,0.4375,0.0312,0.0114,0.1014,0.144,29362425.17,18064870.97
53,10000,4,"3000kW, Pantograph",US,530,14,3.5,0.5833,0.0243,0.0087,0.1014,0.1344,21823862.53,17658588.76
53,10000,5,"3000kW, Pantograph",US,530,11,3.5,0.7292,0.0203,0.0072,0.1014,0.1289,17559272.56,17422716.89
53,10000,6,"3000kW, Pantograph",US,530,9,3.5,0.875,0.0177,0.0061,0.1014,0.1252,14716212.59,17265468.97
54,10000,1,"3000kW, Pantograph",US,540,54,3.5,0.1458,0.0845,0.0324,0.1014,0.2183,88637816.36,21631829.54
54,10000,2,"3000kW, Pantograph",US,540,27,3.5,0.2917,0.0445,0.0167,0.1014,0.1626,44569364.53,19209732.26
54,10000,3,"3000kW, Pantograph",US,540,18,3.5,0.4375,0.031,0.0114,0.1014,0.1438,29736243.02,18397979.02
54,10000,4,"3000kW, Pantograph",US,540,14,3.5,0.5833,0.0245,0.0088,0.1014,0.1347,22535138.61,17998683.62
54,10000,5,"3000kW, Pantograph",US,540,11,3.5,0.7292,0.0202,0.0071,0.1014,0.1288,17783563.27,17745943.95
54,10000,6,"3000kW, Pantograph",US,540,9,3.5,0.875,0.0176,0.0061,0.1014,0.1251,14903121.51,17586225.79
55,10000,1,"3000kW, Pantograph",US,550,55,3.5,0.1458,0.0844,0.0324,0.1014,0.2182,90190182.6,22027504.94
55,10000,2,"3000kW, Pantograph",US,550,28,3.5,0.2917,0.0443,0.0166,0.1014,0.1623,45130091.3,19555191.54
55,10000,3,"3000kW, Pantograph",US,550,19,3.5,0.4375,0.0309,0.0113,0.1014,0.1436,30110060.87,18731087.08
55,10000,4,"3000kW, Pantograph",US,550,14,3.5,0.5833,0.0244,0.0087,0.1014,0.1345,22815502,18325616.05
55,10000,5,"3000kW, Pantograph",US,550,11,3.5,0.7292,0.0205,0.0072,0.1014,0.1291,18438766.68,18082333.44
55,10000,6,"3000kW, Pantograph",US,550,10,3.5,0.875,0.0175,0.006,0.1014,0.125,15090030.43,17906982.61
56,10000,1,"3000kW, Pantograph",US,560,56,3.5,0.1458,0.0847,0.0325,0.1014,0.2185,92173461.53,22436342.77
56,10000,2,"3000kW, Pantograph",US,560,28,3.5,0.2917,0.0444,0.0166,0.1014,0.1624,46121730.76,19913813.25
56,10000,3,"3000kW, Pantograph",US,560,19,3.5,0.4375,0.0311,0.0114,0.1014,0.1439,30914791.41,19077357.55
56,10000,4,"3000kW, Pantograph",US,560,14,3.5,0.5833,0.0243,0.0087,0.1014,0.1344,23095865.38,18652548.49
56,10000,5,"3000kW, Pantograph",US,560,12,3.5,0.7292,0.0204,0.0071,0.1014,0.1289,18663057.38,18405560.51
56,10000,6,"3000kW, Pantograph",US,560,10,3.5,0.875,0.0178,0.0061,0.1014,0.1253,15707852.05,18240901.85
57,10000,1,"3000kW, Pantograph",US,570,57,3.5,0.1458,0.0846,0.0324,0.1014,0.2184,93725827.76,22832018.18
57,10000,2,"3000kW, Pantograph",US,570,29,3.5,0.2917,0.0445,0.0166,0.1014,0.1626,47113370.23,20272434.96
57,10000,3,"3000kW, Pantograph",US,570,19,3.5,0.4375,0.031,0.0113,0.1014,0.1437,31288609.25,19410465.6
57,10000,4,"3000kW, Pantograph",US,570,15,3.5,0.5833,0.0245,0.0087,0.1014,0.1347,23807141.46,18992643.35
57,10000,5,"3000kW, Pantograph",US,570,12,3.5,0.7292,0.0203,0.0071,0.1014,0.1288,18887348.09,18728787.57
57,10000,6,"3000kW, Pantograph",US,570,10,3.5,0.875,0.0177,0.0061,0.1014,0.1252,15894760.98,18561658.67
58,10000,1,"3000kW, Pantograph",US,580,58,3.5,0.1458,0.0845,0.0324,0.1014,0.2183,95278194,23227693.59
58,10000,2,"3000kW, Pantograph",US,580,29,3.5,0.2917,0.0443,0.0166,0.1014,0.1623,47674097,20617894.24
58,10000,3,"3000kW, Pantograph",US,580,20,3.5,0.4375,0.0312,0.0113,0.1014,0.1439,32093339.8,19756736.08
58,10000,4,"3000kW, Pantograph",US,580,15,3.5,0.5833,0.0244,0.0087,0.1014,0.1345,24087504.85,19319575.78
58,10000,5,"3000kW, Pantograph",US,580,12,3.5,0.7292,0.0202,0.0071,0.1014,0.1287,19111638.8,19052014.63
58,10000,6,"3000kW, Pantograph",US,580,10,3.5,0.875,0.0177,0.006,0.1014,0.1251,16081669.9,18882415.49
59,10000,1,"3000kW, Pantograph",US,590,59,3.5,0.1458,0.0844,0.0324,0.1014,0.2182,96830560.24,23623368.99
59,10000,2,"3000kW, Pantograph",US,590,30,3.5,0.2917,0.0445,0.0166,0.1014,0.1625,48665736.47,20976515.95
59,10000,3,"3000kW, Pantograph",US,590,20,3.5,0.4375,0.031,0.0113,0.1014,0.1437,32467157.64,20089844.13
59,10000,4,"3000kW, Pantograph",US,590,15,3.5,0.5833,0.0243,0.0087,0.1014,0.1344,24367868.23,19646508.21
59,10000,5,"3000kW, Pantograph",US,590,12,3.5,0.7292,0.0205,0.0071,0.1014,0.129,19766842.2,19388404.12
59,10000,6,"3000kW, Pantograph",US,590,10,3.5,0.875,0.0176,0.006,0.1014,0.125,16268578.82,19203172.3
60,10000,1,"3000kW, Pantograph",US,600,60,3.5,0.1458,0.0844,0.0323,0.1014,0.2181,98382926.47,24019044.4
60,10000,2,"3000kW, Pantograph",US,600,30,3.5,0.2917,0.0443,0.0165,0.1014,0.1622,49226463.24,21321975.23
60,10000,3,"3000kW, Pantograph",US,600,20,3.5,0.4375,0.0309,0.0113,0.1014,0.1436,32840975.49,20422952.18
60,10000,4,"3000kW, Pantograph",US,600,15,3.5,0.5833,0.0242,0.0086,0.1014,0.1342,24648231.62,19973440.65
60,10000,5,"3000kW, Pantograph",US,600,12,3.5,0.7292,0.0204,0.0071,0.1014,0.1289,19991132.91,19711631.19
60,10000,6,"3000kW, Pantograph",US,600,10,3.5,0.875,0.0175,0.006,0.1014,0.1249,16455487.75,19523929.12
61,10000,1,"3000kW, Pantograph",US,610,61,3.5,0.1458,0.0846,0.0324,0.1014,0.2184,100366205.4,24427882.23
61,10000,2,"3000kW, Pantograph",US,610,31,3.5,0.2917,0.0444,0.0165,0.1014,0.1623,50218102.7,21680596.94
61,10000,3,"3000kW, Pantograph",US,610,21,3.5,0.4375,0.0311,0.0113,0.1014,0.1438,33645706.03,20769222.65
61,10000,4,"3000kW, Pantograph",US,610,16,3.5,0.5833,0.0244,0.0087,0.1014,0.1345,25359507.7,20313535.51
61,10000,5,"3000kW, Pantograph",US,610,13,3.5,0.7292,0.0203,0.007,0.1014,0.1288,20215423.62,20034858.25
61,10000,6,"3000kW, Pantograph",US,610,11,3.5,0.875,0.0178,0.006,0.1014,0.1252,17073309.36,19857848.36
62,10000,1,"3000kW, Pantograph",US,620,62,3.5,0.1458,0.0846,0.0324,0.1014,0.2183,101918571.6,24823557.63
62,10000,2,"3000kW, Pantograph",US,620,31,3.5,0.2917,0.0445,0.0166,0.1014,0.1625,51209742.17,22039218.65
62,10000,3,"3000kW, Pantograph",US,620,21,3.5,0.4375,0.031,0.0112,0.1014,0.1436,34019523.88,21102330.7
62,10000,4,"3000kW, Pantograph",US,620,16,3.5,0.5833,0.0243,0.0086,0.1014,0.1344,25639871.08,20640467.94
62,10000,5,"3000kW, Pantograph",US,620,13,3.5,0.7292,0.0202,0.007,0.1014,0.1287,20439714.33,20358085.32
62,10000,6,"3000kW, Pantograph",US,620,11,3.5,0.875,0.0177,0.006,0.1014,0.1251,17260218.29,20178605.18
63,10000,1,"3000kW, Pantograph",US,630,63,3.5,0.1458,0.0845,0.0323,0.1014,0.2182,103470937.9,25219233.04
63,10000,2,"3000kW, Pantograph",US,630,32,3.5,0.2917,0.0443,0.0165,0.1014,0.1622,51770468.94,22384677.93
63,10000,3,"3000kW, Pantograph",US,630,21,3.5,0.4375,0.0311,0.0113,0.1014,0.1438,34824254.42,21448601.18
63,10000,4,"3000kW, Pantograph",US,630,16,3.5,0.5833,0.0242,0.0086,0.1014,0.1342,25920234.47,20967400.38
63,10000,5,"3000kW, Pantograph",US,630,13,3.5,0.7292,0.0205,0.0071,0.1014,0.1289,21094917.73,20694474.8
63,10000,6,"3000kW, Pantograph",US,630,11,3.5,0.875,0.0176,0.006,0.1014,0.125,17447127.21,20499362
64,10000,1,"3000kW, Pantograph",US,640,64,3.5,0.1458,0.0844,0.0323,0.1014,0.2182,105023304.1,25614908.44
64,10000,2,"3000kW, Pantograph",US,640,32,3.5,0.2917,0.0444,0.0165,0.1014,0.1624,52762108.4,22743299.64
64,10000,3,"3000kW, Pantograph",US,640,22,3.5,0.4375,0.031,0.0112,0.1014,0.1437,35198072.27,21781709.23
64,10000,4,"3000kW, Pantograph",US,640,16,3.5,0.5833,0.0244,0.0086,0.1014,0.1345,26631510.55,21307495.23
64,10000,5,"3000kW, Pantograph",US,640,13,3.5,0.7292,0.0204,0.007,0.1014,0.1288,21319208.44,21017701.87
64,10000,6,"3000kW, Pantograph",US,640,11,3.5,0.875,0.0176,0.0059,0.1014,0.1249,17634036.13,20820118.82
65,10000,1,"3000kW, Pantograph",US,650,65,3.5,0.1458,0.0844,0.0323,0.1014,0.2181,106575670.3,26010583.85
65,10000,2,"3000kW, Pantograph",US,650,33,3.5,0.2917,0.0443,0.0165,0.1014,0.1621,53322835.17,23088758.92
65,10000,3,"3000kW, Pantograph",US,650,22,3.5,0.4375,0.0309,0.0112,0.1014,0.1435,35571890.11,22114817.28
65,10000,4,"3000kW, Pantograph",US,650,17,3.5,0.5833,0.0244,0.0086,0.1014,0.1344,26911873.93,21634427.67
65,10000,5,"3000kW, Pantograph",US,650,13,3.5,0.7292,0.0203,0.007,0.1014,0.1287,21543499.15,21340928.93
65,10000,6,"3000kW, Pantograph",US,650,11,3.5,0.875,0.0175,0.0059,0.1014,0.1249,17820945.06,21140875.63
66,10000,1,"3000kW, Pantograph",US,660,66,3.5,0.1458,0.0846,0.0323,0.1014,0.2183,108558949.3,26419421.68
66,10000,2,"3000kW, Pantograph",US,660,33,3.5,0.2917,0.0444,0.0165,0.1014,0.1623,54314474.64,23447380.63
66,10000,3,"3000kW, Pantograph",US,660,22,3.5,0.4375,0.0311,0.0112,0.1014,0.1437,36376620.66,22461087.75
66,10000,4,"3000kW, Pantograph",US,660,17,3.5,0.5833,0.0243,0.0086,0.1014,0.1342,27192237.32,21961360.1
66,10000,5,"3000kW, Pantograph",US,660,14,3.5,0.7292,0.0202,0.007,0.1014,0.1286,21767789.85,21664156
66,10000,6,"3000kW, Pantograph",US,660,11,3.5,0.875,0.0178,0.006,0.1014,0.1251,18438766.68,21474794.88
67,10000,1,"3000kW, Pantograph",US,670,67,3.5,0.1458,0.0845,0.0323,0.1014,0.2183,110111315.5,26815097.09
67,10000,2,"3000kW, Pantograph",US,670,34,3.5,0.2917,0.0445,0.0165,0.1014,0.1624,55306114.1,23806002.34
67,10000,3,"3000kW, Pantograph",US,670,23,3.5,0.4375,0.0309,0.0112,0.1014,0.1435,36750438.5,22794195.8
67,10000,4,"3000kW, Pantograph",US,670,17,3.5,0.5833,0.0245,0.0086,0.1014,0.1345,27903513.4,22301454.96
67,10000,5,"3000kW, Pantograph",US,670,14,3.5,0.7292,0.0205,0.007,0.1014,0.1289,22422993.26,22000545.49
67,10000,6,"3000kW, Pantograph",US,670,12,3.5,0.875,0.0177,0.0059,0.1014,0.1251,18625675.6,21795551.69
68,10000,1,"3000kW, Pantograph",US,680,68,3.5,0.1458,0.0845,0.0323,0.1014,0.2182,111663681.8,27210772.49
68,10000,2,"3000kW, Pantograph",US,680,34,3.5,0.2917,0.0443,0.0165,0.1014,0.1622,55866840.87,24151461.62
68,10000,3,"3000kW, Pantograph",US,680,23,3.5,0.4375,0.0311,0.0112,0.1014,0.1437,37555169.05,23140466.28
68,10000,4,"3000kW, Pantograph",US,680,17,3.5,0.5833,0.0244,0.0086,0.1014,0.1344,28183876.78,22628387.4
68,10000,5,"3000kW, Pantograph",US,680,14,3.5,0.7292,0.0204,0.007,0.1014,0.1288,22647283.97,22323772.55
68,10000,6,"3000kW, Pantograph",US,680,12,3.5,0.875,0.0176,0.0059,0.1014,0.125,18812584.52,22116308.51
69,10000,1,"3000kW, Pantograph",US,690,69,3.5,0.1458,0.0844,0.0323,0.1014,0.2181,113216048,27606447.9
69,10000,2,"3000kW, Pantograph",US,690,35,3.5,0.2917,0.0444,0.0165,0.1014,0.1623,56858480.34,24510083.33
69,10000,3,"3000kW, Pantograph",US,690,23,3.5,0.4375,0.031,0.0112,0.1014,0.1436,37928986.89,23473574.33
69,10000,4,"3000kW, Pantograph",US,690,18,3.5,0.5833,0.0243,0.0085,0.1014,0.1342,28464240.17,22955319.83
69,10000,5,"3000kW, Pantograph",US,690,14,3.5,0.7292,0.0203,0.007,0.1014,0.1287,22871574.67,22646999.62
69,10000,6,"3000kW, Pantograph",US,690,12,3.5,0.875,0.0176,0.0059,0.1014,0.1249,18999493.45,22437065.33
70,10000,1,"3000kW, Pantograph",US,700,70,3.5,0.1458,0.0844,0.0322,0.1014,0.218,114768414.2,28002123.3
70,10000,2,"3000kW, Pantograph",US,700,35,3.5,0.2917,0.0443,0.0164,0.1014,0.1621,57419207.11,24855542.61
70,10000,3,"3000kW, Pantograph",US,700,24,3.5,0.4375,0.0309,0.0112,0.1014,0.1434,38302804.74,23806682.38
70,10000,4,"3000kW, Pantograph",US,700,18,3.5,0.5833,0.0242,0.0085,0.1014,0.1341,28744603.55,23282252.26
70,10000,5,"3000kW, Pantograph",US,700,14,3.5,0.7292,0.0202,0.0069,0.1014,0.1286,23095865.38,22970226.68
70,10000,6,"3000kW, Pantograph",US,700,12,3.5,0.875,0.0175,0.0059,0.1014,0.1248,19186402.37,22757822.15
71,10000,1,"3000kW, Pantograph",US,710,71,3.5,0.1458,0.0846,0.0323,0.1014,0.2183,116751693.2,28410961.13
71,10000,2,"3000kW, Pantograph",US,710,36,3.5,0.2917,0.0444,0.0164,0.1014,0.1622,58410846.57,25214164.32
71,10000,3,"3000kW, Pantograph",US,710,24,3.5,0.4375,0.031,0.0112,0.1014,0.1436,39107535.28,24152952.85
71,10000,4,"3000kW, Pantograph",US,710,18,3.5,0.5833,0.0244,0.0086,0.1014,0.1344,29455879.63,23622347.12
71,10000,5,"3000kW, Pantograph",US,710,15,3.5,0.7292,0.0204,0.007,0.1014,0.1288,23751068.79,23306616.17
71,10000,6,"3000kW, Pantograph",US,710,12,3.5,0.875,0.0177,0.0059,0.1014,0.1251,19804223.99,23091741.39
72,10000,1,"3000kW, Pantograph",US,720,72,3.5,0.1458,0.0845,0.0323,0.1014,0.2182,118304059.4,28806636.54
72,10000,2,"3000kW, Pantograph",US,720,36,3.5,0.2917,0.0445,0.0165,0.1014,0.1623,59402486.04,25572786.03
72,10000,3,"3000kW, Pantograph",US,720,24,3.5,0.4375,0.0309,0.0111,0.1014,0.1435,39481353.13,24486060.9
72,10000,4,"3000kW, Pantograph",US,720,18,3.5,0.5833,0.0243,0.0085,0.1014,0.1342,29736243.02,23949279.56
72,10000,5,"3000kW, Pantograph",US,720,15,3.5,0.7292,0.0204,0.007,0.1014,0.1288,23975359.49,23629843.23
72,10000,6,"3000kW, Pantograph",US,720,12,3.5,0.875,0.0177,0.0059,0.1014,0.125,19991132.91,23412498.21
73,10000,1,"3000kW, Pantograph",US,730,73,3.5,0.1458,0.0845,0.0322,0.1014,0.2181,119856425.6,29202311.94
73,10000,2,"3000kW, Pantograph",US,730,37,3.5,0.2917,0.0443,0.0164,0.1014,0.1621,59963212.81,25918245.31
73,10000,3,"3000kW, Pantograph",US,730,25,3.5,0.4375,0.0311,0.0112,0.1014,0.1437,40286083.67,24832331.38
73,10000,4,"3000kW, Pantograph",US,730,19,3.5,0.5833,0.0242,0.0085,0.1014,0.1341,30016606.4,24276211.99
73,10000,5,"3000kW, Pantograph",US,730,15,3.5,0.7292,0.0203,0.0069,0.1014,0.1287,24199650.2,23953070.3
73,10000,6,"3000kW, Pantograph",US,730,13,3.5,0.875,0.0176,0.0059,0.1014,0.1249,20178041.83,23733255.03
74,10000,1,"3000kW, Pantograph",US,740,74,3.5,0.1458,0.0844,0.0322,0.1014,0.218,121408791.9,29597987.35
74,10000,2,"3000kW, Pantograph",US,740,37,3.5,0.2917,0.0444,0.0164,0.1014,0.1622,60954852.27,26276867.02
74,10000,3,"3000kW, Pantograph",US,740,25,3.5,0.4375,0.031,0.0111,0.1014,0.1435,40659901.52,25165439.43
74,10000,4,"3000kW, Pantograph",US,740,19,3.5,0.5833,0.0244,0.0085,0.1014,0.1343,30727882.48,24616306.85
74,10000,5,"3000kW, Pantograph",US,740,15,3.5,0.7292,0.0202,0.0069,0.1014,0.1286,24423940.91,24276297.36
74,10000,6,"3000kW, Pantograph",US,740,13,3.5,0.875,0.0176,0.0059,0.1014,0.1248,20364950.76,24054011.84
75,10000,1,"3000kW, Pantograph",US,750,75,3.5,0.1458,0.0844,0.0322,0.1014,0.218,122961158.1,29993662.76
75,10000,2,"3000kW, Pantograph",US,750,38,3.5,0.2917,0.0442,0.0164,0.1014,0.162,61515579.04,26622326.3
75,10000,3,"3000kW, Pantograph",US,750,25,3.5,0.4375,0.0309,0.0111,0.1014,0.1434,41033719.36,25498547.48
75,10000,4,"3000kW, Pantograph",US,750,19,3.5,0.5833,0.0243,0.0085,0.1014,0.1342,31008245.87,24943239.28
75,10000,5,"3000kW, Pantograph",US,750,15,3.5,0.7292,0.0202,0.0069,0.1014,0.1285,24648231.62,24599524.43
75,10000,6,"3000kW, Pantograph",US,750,13,3.5,0.875,0.0175,0.0058,0.1014,0.1248,20551859.68,24374768.66
76,10000,1,"3000kW, Pantograph",US,760,76,3.5,0.1458,0.0846,0.0322,0.1014,0.2182,124944437,30402500.59
76,10000,2,"3000kW, Pantograph",US,760,38,3.5,0.2917,0.0443,0.0164,0.1014,0.1622,62507218.51,26980948.01
76,10000,3,"3000kW, Pantograph",US,760,26,3.5,0.4375,0.031,0.0111,0.1014,0.1436,41838449.9,25844817.96
76,10000,4,"3000kW, Pantograph",US,760,19,3.5,0.5833,0.0242,0.0085,0.1014,0.1341,31288609.25,25270171.72
76,10000,5,"3000kW, Pantograph",US,760,16,3.5,0.7292,0.0204,0.0069,0.1014,0.1287,25303435.02,24935913.91
76,10000,6,"3000kW, Pantograph",US,760,13,3.5,0.875,0.0177,0.0059,0.1014,0.125,21169681.3,24708687.9
77,10000,1,"3000kW, Pantograph",US,770,77,3.5,0.1458,0.0845,0.0322,0.1014,0.2181,126496803.3,30798175.99
77,10000,2,"3000kW, Pantograph",US,770,39,3.5,0.2917,0.0444,0.0164,0.1014,0.1623,63498857.98,27339569.71
77,10000,3,"3000kW, Pantograph",US,770,26,3.5,0.4375,0.0309,0.0111,0.1014,0.1434,42212267.75,26177926.01
77,10000,4,"3000kW, Pantograph",US,770,20,3.5,0.5833,0.0244,0.0085,0.1014,0.1343,31999885.34,25610266.58
77,10000,5,"3000kW, Pantograph",US,770,16,3.5,0.7292,0.0203,0.0069,0.1014,0.1286,25527725.73,25259140.98
77,10000,6,"3000kW, Pantograph",US,770,13,3.5,0.875,0.0177,0.0059,0.1014,0.1249,21356590.22,25029444.72
78,10000,1,"3000kW, Pantograph",US,780,78,3.5,0.1458,0.0845,0.0322,0.1014,0.2181,128049169.5,31193851.4
78,10000,2,"3000kW, Pantograph",US,780,39,3.5,0.2917,0.0443,0.0164,0.1014,0.1621,64059584.75,27685029
78,10000,3,"3000kW, Pantograph",US,780,26,3.5,0.4375,0.0311,0.0111,0.1014,0.1436,43016998.29,26524196.48
78,10000,4,"3000kW, Pantograph",US,780,20,3.5,0.5833,0.0243,0.0085,0.1014,0.1342,32280248.72,25937199.01
78,10000,5,"3000kW, Pantograph",US,780,16,3.5,0.7292,0.0202,0.0069,0.1014,0.1286,25752016.44,25582368.04
78,10000,6,"3000kW, Pantograph",US,780,13,3.5,0.875,0.0176,0.0058,0.1014,0.1249,21543499.15,25350201.54
79,10000,1,"3000kW, Pantograph",US,790,79,3.5,0.1458,0.0844,0.0322,0.1014,0.218,129601535.7,31589526.8
79,10000,2,"3000kW, Pantograph",US,790,40,3.5,0.2917,0.0444,0.0164,0.1014,0.1622,65051224.21,28043650.71
79,10000,3,"3000kW, Pantograph",US,790,27,3.5,0.4375,0.031,0.0111,0.1014,0.1435,43390816.14,26857304.53
79,10000,4,"3000kW, Pantograph",US,790,20,3.5,0.5833,0.0243,0.0085,0.1014,0.1341,32560612.11,26264131.44
79,10000,5,"3000kW, Pantograph",US,790,16,3.5,0.7292,0.0202,0.0069,0.1014,0.1285,25976307.15,25905595.11
79,10000,6,"3000kW, Pantograph",US,790,14,3.5,0.875,0.0176,0.0058,0.1014,0.1248,21730408.07,25670958.36
80,10000,1,"3000kW, Pantograph",US,800,80,3.5,0.1458,0.0844,0.0322,0.1014,0.2179,131153902,31985202.21
80,10000,2,"3000kW, Pantograph",US,800,40,3.5,0.2917,0.0442,0.0163,0.1014,0.162,65611950.98,28389109.99
80,10000,3,"3000kW, Pantograph",US,800,27,3.5,0.4375,0.0309,0.0111,0.1014,0.1434,43764633.99,27190412.58
80,10000,4,"3000kW, Pantograph",US,800,20,3.5,0.5833,0.0242,0.0084,0.1014,0.134,32840975.49,26591063.88
80,10000,5,"3000kW, Pantograph",US,800,16,3.5,0.7292,0.0204,0.0069,0.1014,0.1287,26631510.55,26241984.6
80,10000,6,"3000kW, Pantograph",US,800,14,3.5,0.875,0.0175,0.0058,0.1014,0.1247,21917316.99,25991715.18
81,10000,1,"3000kW, Pantograph",US,810,81,3.5,0.1458,0.0845,0.0322,0.1014,0.2182,133137180.9,32394040.04
81,10000,2,"3000kW, Pantograph",US,810,41,3.5,0.2917,0.0443,0.0164,0.1014,0.1621,66603590.45,28747731.7
81,10000,3,"3000kW, Pantograph",US,810,27,3.5,0.4375,0.031,0.0111,0.1014,0.1435,44569364.53,27536683.06
81,10000,4,"3000kW, Pantograph",US,810,21,3.5,0.5833,0.0244,0.0085,0.1014,0.1342,33552251.57,26931158.74
81,10000,5,"3000kW, Pantograph",US,810,17,3.5,0.7292,0.0203,0.0069,0.1014,0.1286,26855801.26,26565211.66
81,10000,6,"3000kW, Pantograph",US,810,14,3.5,0.875,0.0177,0.0058,0.1014,0.125,22535138.61,26325634.42
82,10000,1,"3000kW, Pantograph",US,820,82,3.5,0.1458,0.0845,0.0322,0.1014,0.2181,134689547.1,32789715.45
82,10000,2,"3000kW, Pantograph",US,820,41,3.5,0.2917,0.0444,0.0164,0.1014,0.1622,67595229.91,29106353.4
82,10000,3,"3000kW, Pantograph",US,820,28,3.5,0.4375,0.0309,0.0111,0.1014,0.1434,44943182.38,27869791.11
82,10000,4,"3000kW, Pantograph",US,820,21,3.5,0.5833,0.0243,0.0084,0.1014,0.1341,33832614.96,27258091.17
82,10000,5,"3000kW, Pantograph",US,820,17,3.5,0.7292,0.0203,0.0069,0.1014,0.1285,27080091.96,26888438.72
82,10000,6,"3000kW, Pantograph",US,820,14,3.5,0.875,0.0176,0.0058,0.1014,0.1249,22722047.54,26646391.24
83,10000,1,"3000kW, Pantograph",US,830,83,3.5,0.1458,0.0844,0.0322,0.1014,0.218,136241913.4,33185390.85
83,10000,2,"3000kW, Pantograph",US,830,42,3.5,0.2917,0.0443,0.0163,0.1014,0.162,68155956.68,29451812.69
83,10000,3,"3000kW, Pantograph",US,830,28,3.5,0.4375,0.0311,0.0111,0.1014,0.1436,45747912.92,28216061.58
83,10000,4,"3000kW, Pantograph",US,830,21,3.5,0.5833,0.0242,0.0084,0.1014,0.134,34112978.34,27585023.61
83,10000,5,"3000kW, Pantograph",US,830,17,3.5,0.7292,0.0202,0.0068,0.1014,0.1285,27304382.67,27211665.79
83,10000,6,"3000kW, Pantograph",US,830,14,3.5,0.875,0.0176,0.0058,0.1014,0.1248,22908956.46,26967148.05
84,10000,1,"3000kW, Pantograph",US,840,84,3.5,0.1458,0.0844,0.0321,0.1014,0.218,137794279.6,33581066.26
84,10000,2,"3000kW, Pantograph",US,840,42,3.5,0.2917,0.0444,0.0164,0.1014,0.1621,69147596.15,29810434.39
84,10000,3,"3000kW, Pantograph",US,840,28,3.5,0.4375,0.031,0.0111,0.1014,0.1434,46121730.76,28549169.63
84,10000,4,"3000kW, Pantograph",US,840,21,3.5,0.5833,0.0244,0.0085,0.1014,0.1342,34824254.42,27925118.46
