Number of Locomotive,Locomotive Battery Capacity,Locomotive per charger,Charger Type,Electricity Rate,Total energy [MWh],Total Charger Needed,Total Charging Time per locomotive [hrs],Station Utilization,Capital cost [$/kWh],O&M less energy [$/kWh],Energy [$/kWh],Total charging cost [$/kWh],Charging station capital investment,Annual O&M cost (w/energy cost)
23,10000,6,"3000kW, Pantograph",US,230,4,3.5,0.875,0.0189,0.0076,0.1014,0.128,6945135.38,7592769.89
24,10000,1,"3000kW, Pantograph",US,240,24,3.5,0.1458,0.0846,0.0334,0.1014,0.2195,39481353.13,9682592.82
24,10000,2,"3000kW, Pantograph",US,240,12,3.5,0.2917,0.0449,0.0177,0.1014,0.164,19991132.91,8609030.12
24,10000,3,"3000kW, Pantograph",US,240,8,3.5,0.4375,0.0313,0.0124,0.1014,0.1451,13350755.27,8246788.42
24,10000,4,"3000kW, Pantograph",US,240,6,3.5,0.5833,0.025,0.0098,0.1014,0.1362,10246022.8,8072248.77
24,10000,5,"3000kW, Pantograph",US,240,5,3.5,0.7292,0.0216,0.0087,0.1014,0.1317,8566453.16,7993283.05
24,10000,6,"3000kW, Pantograph",US,240,4,3.5,0.875,0.0187,0.0075,0.1014,0.1277,7150377.64,7914786.71
25,10000,1,"3000kW, Pantograph",US,250,25,3.5,0.1458,0.0845,0.0333,0.1014,0.2192,41033719.36,10078268.23
25,10000,2,"3000kW, Pantograph",US,250,13,3.5,0.2917,0.0444,0.0175,0.1014,0.1633,20551859.68,8954489.41
25,10000,3,"3000kW, Pantograph",US,250,9,3.5,0.4375,0.031,0.0122,0.1014,0.1447,13724573.12,8579896.47
25,10000,4,"3000kW, Pantograph",US,250,7,3.5,0.5833,0.0247,0.0097,0.1014,0.1358,10526386.19,8399181.21
25,10000,5,"3000kW, Pantograph",US,250,5,3.5,0.7292,0.0203,0.008,0.1014,0.1297,8262743.87,8280222.12
25,10000,6,"3000kW, Pantograph",US,250,5,3.5,0.875,0.0186,0.0074,0.1014,0.1274,7355619.89,8236803.53
26,10000,1,"3000kW, Pantograph",US,260,26,3.5,0.1458,0.0851,0.0334,0.1014,0.2199,43016998.29,10487106.06
26,10000,2,"3000kW, Pantograph",US,260,13,3.5,0.2917,0.0447,0.0175,0.1014,0.1636,21543499.15,9313111.11
26,10000,3,"3000kW, Pantograph",US,260,9,3.5,0.4375,0.0314,0.0123,0.1014,0.1451,14529303.66,8926166.94
26,10000,4,"3000kW, Pantograph",US,260,7,3.5,0.5833,0.0245,0.0096,0.1014,0.1355,10806749.57,8726113.64
26,10000,5,"3000kW, Pantograph",US,260,6,3.5,0.7292,0.0209,0.0081,0.1014,0.1304,8917947.28,8616611.6
