Commodity group,Weighted ratio
AG_FOOD,1.051
CHEM_PET,1.037315593
COAL,0.74
FOR_PROD,1.51368172
IM,6.04408276
MET_ORE,1.048251894
MO_VEH,4.902
NONMET_PRO,0.882822849
OTHER,3.820319292
