state,year,emissions
UT,2026,731.2744344
VA,2026,219.5051342
VT,2026,1.122445357
WA,2026,25.02695091
WI,2026,671.8036259
WV,2026,761.5536559
WY,2026,789.1688896
AL,2028,434.8459686
AR,2028,468.0127662
AZ,2028,302.9972809
CA,2028,175.4452505
CO,2028,509.0204968
CT,2028,211.9378865
DE,2028,157.357888
FL,2028,446.0411053
GA,2028,396.951795
IA,2028,463.7563995
ID,2028,54.90740677
IL,2028,256.5823979
IN,2028,749.5697523
KS,2028,314.2655851
KY,2028,850.6610077
LA,2028,398.2807988
MA,2028,168.9822811
MD,2028,191.7980546
ME,2028,85.5706093
MI,2028,492.5632787
MN,2028,258.7034115
MO,2028,683.2455988
MS,2028,367.3029438
MT,2028,428.1337053
NC,2028,445.9052588
ND,2028,458.0983782
NE,2028,324.9049096
NH,2028,28.56427473
NJ,2028,239.0890794
NM,2028,652.280992
NV,2028,348.2960507
NY,2028,116.6005037
OH,2028,630.8063141
OK,2028,189.0056745
OR,2028,88.21701028
PA,2028,421.2009528
RI,2028,110.4929715
SC,2028,233.2784929
SD,2028,182.888796
TN,2028,359.7656028
TX,2028,320.5653217
UT,2028,744.4904387
VA,2028,203.4844056
VT,2028,1.151119481
WA,2028,20.68299793
WI,2028,663.2638808
WV,2028,803.6847067
WY,2028,720.5554149
AL,2030,416.3714862
AR,2030,463.8667982
AZ,2030,278.2110546
CA,2030,166.7716382
CO,2030,464.6247808
CT,2030,209.4640101
DE,2030,139.3374802
FL,2030,388.4533284
GA,2030,323.2858412
IA,2030,466.3528017
ID,2030,48.99609289
IL,2030,244.9938596
IN,2030,734.3582129
KS,2030,303.3123203
KY,2030,841.5936243
LA,2030,333.6054138
MA,2030,138.5171561
MD,2030,176.2884409
ME,2030,93.29906535
MI,2030,365.2572404
MN,2030,215.6921228
MO,2030,666.0869249
MS,2030,304.4315681
MT,2030,411.1885736
NC,2030,429.2870517
ND,2030,433.6834025
NE,2030,331.1562829
NH,2030,36.56360347
NJ,2030,224.1905573
NM,2030,622.3085247
NV,2030,306.4606639
NY,2030,103.7694745
OH,2030,630.2220804
OK,2030,190.2642379
OR,2030,89.29580287
PA,2030,407.8455075
RI,2030,85.84867797
SC,2030,183.7969949
SD,2030,135.6936081
TN,2030,314.7492701
TX,2030,296.8560308
UT,2030,745.6501462
VA,2030,205.4162666
VT,2030,1.174660413
WA,2030,20.77634881
WI,2030,658.6068337
WV,2030,731.2943768
WY,2030,722.4287971
AL,2032,417.53911
AR,2032,444.6822779
AZ,2032,271.4166646
CA,2032,167.6716097
CO,2032,453.5653688
CT,2032,208.6246787
DE,2032,120.6343023
FL,2032,380.9558329
GA,2032,309.7084258
IA,2032,436.8419844
ID,2032,44.3690627
IL,2032,271.9881233
IN,2032,712.4131154
KS,2032,301.3598918
KY,2032,619.7149586
LA,2032,348.8011214
MA,2032,134.6123987
MD,2032,174.4663366
ME,2032,98.23061889
MI,2032,357.3614723
MN,2032,232.2244223
MO,2032,656.2080187
MS,2032,288.5801151
MT,2032,404.2808487
NC,2032,409.0793737
ND,2032,430.7178617
NE,2032,307.9035699
NH,2032,27.61097609
NJ,2032,218.2110674
NM,2032,585.5793097
NV,2032,298.9489661
NY,2032,99.24570218
OH,2032,593.6025871
OK,2032,188.2547658
OR,2032,80.1923407
PA,2032,411.8846066
RI,2032,97.02040336
SC,2032,191.1435412
SD,2032,160.2300553
TN,2032,300.5641715
TX,2032,267.6168914
UT,2032,753.569647
VA,2032,198.8737021
VT,2032,1.20077513
WA,2032,20.39951829
WI,2032,588.4281213
WV,2032,673.8239986
WY,2032,568.0407868
AL,2034,413.2398864
AR,2034,449.8404193
AZ,2034,269.7211847
CA,2034,155.8006192
CO,2034,435.298468
CT,2034,205.0333745
DE,2034,123.5552838
FL,2034,367.4655601
GA,2034,315.443872
IA,2034,445.1071309
ID,2034,115.2726652
IL,2034,257.5258038
IN,2034,706.9497681
KS,2034,320.2841524
KY,2034,624.0884834
LA,2034,353.1469595
MA,2034,134.4677176
MD,2034,186.3160563
ME,2034,106.7649031
MI,2034,354.9866276
MN,2034,155.9183615
MO,2034,660.202286
MS,2034,288.9497816
MT,2034,395.5529526
NC,2034,415.4944025
ND,2034,452.379139
NE,2034,406.984584
NH,2034,41.18310848
NJ,2034,218.4727987
NM,2034,537.6239504
NV,2034,307.9364187
NY,2034,90.00075964
OH,2034,577.5004847
OK,2034,187.6848793
OR,2034,87.16283648
PA,2034,451.618339
RI,2034,96.99835494
SC,2034,203.523881
SD,2034,162.8257899
TN,2034,303.8384461
TX,2034,270.60019
UT,2034,722.8573661
VA,2034,167.3070157
VT,2034,0.429927441
WA,2034,21.12547481
WI,2034,560.4528411
WV,2034,629.0576246
WY,2034,573.1252286
AL,2036,414.9882255
AR,2036,463.4052638
AZ,2036,248.9613043
CA,2036,143.7495868
CO,2036,426.3791447
CT,2036,249.5445301
DE,2036,142.2259586
FL,2036,347.2944018
GA,2036,338.8596651
IA,2036,447.5751486
ID,2036,182.7762305
IL,2036,258.5333962
IN,2036,689.0382542
KS,2036,311.5170409
KY,2036,620.6118924
LA,2036,356.2076843
MA,2036,129.0697686
MD,2036,207.1465142
ME,2036,114.5613186
MI,2036,349.2069301
MN,2036,153.0502889
MO,2036,655.9832204
MS,2036,294.9887747
MT,2036,379.3260633
NC,2036,394.1733003
ND,2036,416.0750281
NE,2036,365.9236833
NH,2036,22.92629332
NJ,2036,221.1639592
NM,2036,324.5432252
NV,2036,299.7448207
NY,2036,110.4012257
OH,2036,566.7935982
OK,2036,191.1365793
OR,2036,77.17478956
PA,2036,456.1823609
RI,2036,91.03930885
SC,2036,197.4927064
SD,2036,86.4030214
TN,2036,300.4343924
TX,2036,253.4558248
UT,2036,723.6620215
VA,2036,163.6097524
VT,2036,48.13841147
WA,2036,20.21576982
WI,2036,542.4177618
WV,2036,592.023641
WY,2036,567.9128179
AL,2038,408.5939287
AR,2038,452.4442836
AZ,2038,224.8413327
CA,2038,140.0854423
CO,2038,412.9765735
CT,2038,244.7567563
DE,2038,125.0568654
FL,2038,310.4846937
GA,2038,289.9652624
IA,2038,298.6744806
ID,2038,128.1006543
IL,2038,265.3640505
IN,2038,680.6273594
KS,2038,302.6679889
KY,2038,605.5531674
LA,2038,359.7853578
MA,2038,123.5597021
MD,2038,247.9759304
ME,2038,120.4221417
MI,2038,339.5789974
MN,2038,156.0346177
MO,2038,649.2525132
MS,2038,301.2556038
MT,2038,347.5818039
NC,2038,388.04199
ND,2038,385.0047461
NE,2038,333.405176
NH,2038,18.94682811
NJ,2038,249.4834569
NM,2038,294.5417151
NV,2038,258.9510597
NY,2038,114.5763161
OH,2038,573.4460265
OK,2038,162.7930067
OR,2038,70.060302
PA,2038,460.0909633
RI,2038,80.76516272
SC,2038,179.6128818
SD,2038,69.82083649
TN,2038,310.3048309
TX,2038,238.4563068
UT,2038,658.6386528
VA,2038,156.454625
VT,2038,83.62293095
WA,2038,17.32094581
WI,2038,540.4610507
WV,2038,499.52503
WY,2038,522.1443733
AL,2040,402.5326667
AR,2040,442.4910377
AZ,2040,225.2858014
CA,2040,133.4199739
CO,2040,382.1762248
CT,2040,245.6012946
DE,2040,115.5854201
FL,2040,278.7499337
GA,2040,316.8911819
IA,2040,298.5542907
ID,2040,133.1796669
IL,2040,271.5601002
IN,2040,687.7436902
KS,2040,245.8416917
KY,2040,589.7177744
LA,2040,365.1209296
MA,2040,121.6999024
MD,2040,208.5573764
ME,2040,139.4792817
MI,2040,339.3380028
MN,2040,143.9523283
MO,2040,654.4571548
MS,2040,273.9418709
MT,2040,281.4161503
NC,2040,369.6899078
ND,2040,342.281124
NE,2040,197.2796506
NH,2040,13.50618683
NJ,2040,237.7215748
NM,2040,247.9077393
NV,2040,253.7552811
NY,2040,103.0291181
OH,2040,564.9219186
OK,2040,125.9496014
OR,2040,74.76139865
PA,2040,445.3722815
RI,2040,80.62234649
SC,2040,168.8284081
SD,2040,68.10395679
TN,2040,316.60109
TX,2040,221.8640334
UT,2040,667.8081099
VA,2040,143.5867378
VT,2040,99.90004368
WA,2040,18.41867294
WI,2040,525.5743282
WV,2040,466.0980408
WY,2040,472.4957278
AL,2042,397.3503318
AR,2042,445.2328476
AZ,2042,219.4618292
CA,2042,120.2860725
CO,2042,342.7282742
CT,2042,252.7925334
DE,2042,90.11816522
FL,2042,244.6446275
GA,2042,313.2710984
IA,2042,283.9005559
ID,2042,140.8234795
IL,2042,277.081535
IN,2042,677.0538926
KS,2042,266.7383654
KY,2042,560.3165768
LA,2042,370.3357297
MA,2042,122.1255027
MD,2042,177.4595275
ME,2042,160.9921974
MI,2042,320.813023
MN,2042,148.6496496
MO,2042,628.9987794
MS,2042,281.6949629
MT,2042,239.8687494
NC,2042,270.8739119
ND,2042,323.7901386
NE,2042,199.8915193
NH,2042,22.58601364
NJ,2042,264.4948453
NM,2042,246.5519916
NV,2042,263.1874861
NY,2042,104.7022765
OH,2042,523.6932951
OK,2042,130.1548923
OR,2042,81.76049206
PA,2042,425.175201
RI,2042,76.18872688
SC,2042,150.6839732
SD,2042,77.33940214
TN,2042,318.3775613
TX,2042,193.6442715
UT,2042,678.0215967
VA,2042,123.536418
VT,2042,109.6851841
WA,2042,21.96511623
WI,2042,504.5562228
WV,2042,386.0090909
WY,2042,418.5649707
AL,2044,397.0508521
AR,2044,433.2661874
AZ,2044,203.2942067
CA,2044,108.0339041
CO,2044,267.3763697
CT,2044,238.1342239
DE,2044,79.67937627
FL,2044,220.4925216
GA,2044,294.8721065
IA,2044,193.7959324
ID,2044,183.097726
IL,2044,319.7732318
IN,2044,660.4761196
KS,2044,133.2582549
KY,2044,471.1793433
LA,2044,368.4080301
MA,2044,84.29774332
MD,2044,132.1668442
ME,2044,158.0549493
MI,2044,314.9288868
MN,2044,125.9480701
MO,2044,626.7018755
MS,2044,249.07797
MT,2044,204.0562481
NC,2044,231.6973624
ND,2044,285.538591
NE,2044,169.3628987
NH,2044,11.77259013
NJ,2044,264.5122204
NM,2044,154.7678438
NV,2044,257.1605577
NY,2044,106.1061045
OH,2044,512.8419012
OK,2044,93.09233739
OR,2044,85.34776231
PA,2044,395.3410702
RI,2044,64.89880929
SC,2044,146.501393
SD,2044,57.16190786
TN,2044,319.4568403
TX,2044,194.5021682
UT,2044,666.9868758
VA,2044,125.9812246
VT,2044,106.5232803
WA,2044,21.91346848
WI,2044,440.3110443
WV,2044,370.7146917
WY,2044,382.0162198
AL,2046,361.7194157
AR,2046,415.6328137
AZ,2046,188.6810923
CA,2046,102.0315246
CO,2046,253.3512763
CT,2046,368.767847
DE,2046,30.73691989
FL,2046,221.5567035
GA,2046,218.9155097
IA,2046,181.6617529
ID,2046,198.7228016
IL,2046,335.2208961
IN,2046,580.6407837
KS,2046,152.6634008
KY,2046,384.5950259
LA,2046,406.4163202
MA,2046,93.15980222
MD,2046,97.30488746
ME,2046,140.7605341
MI,2046,286.7760525
MN,2046,101.4807988
MO,2046,526.7040342
MS,2046,379.9354118
MT,2046,201.9035586
NC,2046,193.2126834
ND,2046,247.1700485
NE,2046,153.6937438
NH,2046,9.435379187
NJ,2046,295.8960014
NM,2046,121.4041737
NV,2046,228.9377159
NY,2046,103.1351537
OH,2046,484.1659865
OK,2046,72.84461254
OR,2046,79.86375011
PA,2046,396.3126672
RI,2046,63.79668537
SC,2046,135.3143441
SD,2046,65.12030579
TN,2046,324.1936168
TX,2046,175.1386798
UT,2046,689.0766232
VA,2046,0.705338891
VT,2046,99.17142038
WA,2046,24.13622231
WI,2046,436.791548
WV,2046,288.0198349
WY,2046,365.5388209
AL,2048,356.6972086
AR,2048,415.7893668
AZ,2048,187.7584037
CA,2048,101.8536189
CO,2048,246.4567671
CT,2048,309.4322464
DE,2048,16.1223029
FL,2048,207.4051624
GA,2048,234.9193488
IA,2048,166.4751898
ID,2048,211.9244416
IL,2048,432.7287616
IN,2048,552.7281605
KS,2048,163.2397032
KY,2048,317.7476801
LA,2048,406.7931987
MA,2048,85.75825468
MD,2048,97.99666357
ME,2048,138.5927412
MI,2048,233.5377525
MN,2048,67.31307824
MO,2048,443.0924348
MS,2048,243.3041676
MT,2048,191.656351
NC,2048,209.4063818
ND,2048,138.3031859
NE,2048,142.371074
NH,2048,9.181517006
NJ,2048,295.3861137
NM,2048,109.7587432
NV,2048,212.5438347
NY,2048,103.0503775
OH,2048,492.7083147
OK,2048,71.45978085
OR,2048,72.4208643
PA,2048,359.9550728
RI,2048,64.47078374
SC,2048,129.3698998
SD,2048,53.26844
TN,2048,250.4834222
TX,2048,142.8144714
UT,2048,629.3489799
VA,2048,0.716118039
VT,2048,107.1237451
WA,2048,19.50944363
WI,2048,447.5447284
WV,2048,284.5140653
WY,2048,314.6863782
AL,2050,331.0458002
AR,2050,416.5937265
AZ,2050,187.9523419
CA,2050,103.8296872
CO,2050,226.0884734
CT,2050,318.8176457
DE,2050,13.07062951
FL,2050,213.6982683
GA,2050,213.9991585
IA,2050,140.6930338
ID,2050,189.6923336
IL,2050,381.844508
IN,2050,484.6978503
KS,2050,154.5358178
KY,2050,290.4648817
LA,2050,406.17495
MA,2050,81.33489504
MD,2050,144.4301065
ME,2050,106.8769315
MI,2050,221.7773137
MN,2050,46.7177379
MO,2050,451.1193513
MS,2050,180.5903709
MT,2050,154.2208321
NC,2050,160.9320804
ND,2050,148.2312476
NE,2050,114.8691184
NH,2050,7.047908102
NJ,2050,295.0028786
NM,2050,108.5476284
NV,2050,210.1435395
NY,2050,99.88849078
OH,2050,393.7354876
OK,2050,64.89097971
OR,2050,57.52967112
PA,2050,382.1871357
RI,2050,58.66762439
SC,2050,122.6416058
SD,2050,5.602259938
TN,2050,246.3956932
TX,2050,137.6368374
UT,2050,565.4873304
VA,2050,0.726441179
VT,2050,95.13767114
WA,2050,14.17189636
WI,2050,394.4538543
WV,2050,297.8167503
WY,2050,193.9373419
usa,2018,433.4456459
usa,2020,378.3550303
usa,2022,393.2718368
usa,2024,376.9368288
usa,2026,379.3639786
usa,2028,365.9072828
usa,2030,338.0201654
usa,2032,327.0546718
usa,2034,327.2968769
usa,2036,319.8541098
usa,2038,307.3162095
usa,2040,294.5152918
usa,2042,277.8577864
usa,2044,257.489512
usa,2046,240.8362746
usa,2048,226.2957762
usa,2050,208.9568397
