fuel_type,BNSF,UP,NS,CSXT,CN,CP,KCS,Total
diesel, 24.68 , 27.29 , 27.71 , 23.21 , 23.32 , 21.84 , 23.85 , 25.40 
biodiesel, 6.98 , 7.72 , 7.84 , 6.57 , 6.60 , 6.18 , 6.75 , 7.19 
e-fuel, 0.14 , 0.16 , 0.16 , 0.13 , 0.13 , 0.13 , 0.14 , 0.15 
