Origin-Destination SPLC,Commodity Group Name,Time Window (SmmddccyyEmmddccyy),Tons
'384040058248,IM,S07012019E07312019,27360
'363510647000,CHEM_PET,S05012019E05312019,3880
'094343668200,FOR_PROD,S02012019E02282019,3640
'668100584092,CHEM_PET,S07012019E07312019,560
'380002058248,IM,S07012019E07312019,37040
'506754844149,AG_FOOD,S09012019E09302019,4080
'305983327460,FOR_PROD,S01012019E01312019,3800
'853470384020,MO_VEH,S04012019E04302019,4000
'537570380000,NONMET_PRO,S11012019E11302019,3360
'604483566900,OTHER,S10012019E10312019,2008
'380000693480,NONMET_PRO,S07012019E07312019,34515
'517224690150,AG_FOOD,S05012019E05312019,3840
'380000504600,FOR_PROD,S07012019E07312019,1720
'668100883000,FOR_PROD,S09012019E09302019,5320
'883737384020,IM,S03012019E03312019,70800
'527640846200,AG_FOOD,S07012019E07312019,25114
'485730394358,CHEM_PET,S10012019E10312019,3960
'744300845200,AG_FOOD,S05012019E05312019,720
'671983672700,CHEM_PET,S07012019E07312019,3920
'384850694694,NONMET_PRO,S12012019E12312019,34380
'558937784185,CHEM_PET,S04012019E04302019,11024
'537565380000,CHEM_PET,S09012019E09302019,6876
'731134395690,COAL,S05012019E05312019,32306
'509330566900,AG_FOOD,S03012019E03312019,8064
'090361380000,MET_ORE,S04012019E04302019,7280
'645172543640,CHEM_PET,S05012019E05312019,4360
'684882686279,CHEM_PET,S04012019E04302019,6280
'876411684800,IM,S01012019E01312019,4960
'517463846200,AG_FOOD,S11012019E11302019,51106
'519965853474,AG_FOOD,S05012019E05312019,25730
'876155584092,IM,S05012019E05312019,800
'380000576550,CHEM_PET,S07012019E07312019,3800
'584092876411,IM,S12012019E12312019,400
'684775877551,CHEM_PET,S08012019E08312019,3920
'875640504450,AG_FOOD,S10012019E10312019,840
'380000504600,IM,S08012019E08312019,1000
'395278486930,AG_FOOD,S02012019E02282019,41420
'070333501760,FOR_PROD,S02012019E02282019,3560
'090361880278,MET_ORE,S09012019E09302019,3640
'321869325562,FOR_PROD,S04012019E04302019,3000
'380002487230,IM,S10012019E10312019,3000
'384020686212,MO_VEH,S11012019E11302019,920
'522147840600,CHEM_PET,S12012019E12312019,3800
'318200487230,MO_VEH,S05012019E05312019,400
'711147874433,FOR_PROD,S08012019E08312019,4040
'647000380002,IM,S03012019E03312019,3600
'880286881172,CHEM_PET,S11012019E11302019,8160
'381364380000,CHEM_PET,S10012019E10312019,8120
'566900708569,OTHER,S05012019E05312019,552
'513942503572,CHEM_PET,S10012019E10312019,7440
'380000744300,NONMET_PRO,S11012019E11302019,4040
'318200381441,MO_VEH,S09012019E09302019,1200
'380000381839,CHEM_PET,S02012019E02282019,3920
'672672668200,AG_FOOD,S08012019E08312019,10520
'537990380000,OTHER,S07012019E07312019,1520
'519263840574,CHEM_PET,S07012019E07312019,2560
'696900797152,MO_VEH,S06012019E06302019,800
'731122566545,COAL,S03012019E03312019,98150
'305209325760,MET_ORE,S02012019E02282019,3600
'509330439930,AG_FOOD,S09012019E09302019,3840
'645523380635,AG_FOOD,S09012019E09302019,4360
'777550879556,CHEM_PET,S08012019E08312019,7920
'566330773470,AG_FOOD,S04012019E04302019,4320
'555720396640,AG_FOOD,S04012019E04302019,3880
'564735061200,CHEM_PET,S11012019E11302019,4000
'706720840600,CHEM_PET,S08012019E08312019,7520
'398101645543,COAL,S07012019E07312019,459038
'517224878762,AG_FOOD,S10012019E10312019,3696
'684800690360,CHEM_PET,S03012019E03312019,3440
'731154566900,COAL,S11012019E11302019,64838
'503938384020,AG_FOOD,S05012019E05312019,5680
'881525876134,CHEM_PET,S01012019E01312019,3552
'504450845203,AG_FOOD,S06012019E06302019,840
'380000883734,CHEM_PET,S04012019E04302019,640
'748537744184,NONMET_PRO,S06012019E06302019,93177
'439900527180,AG_FOOD,S04012019E04302019,4200
'876411684800,IM,S06012019E06302019,1720
'794222788128,NONMET_PRO,S09012019E09302019,8512
'645364381364,CHEM_PET,S04012019E04302019,11800
'553200883732,AG_FOOD,S09012019E09302019,2080
'508323380000,CHEM_PET,S09012019E09302019,27414
'879556382867,AG_FOOD,S08012019E08312019,2680
'880286883578,AG_FOOD,S07012019E07312019,3520
'396640567213,COAL,S01012019E01312019,96644
'754753558588,NONMET_PRO,S05012019E05312019,18480
'093314678920,CHEM_PET,S11012019E11302019,3600
'845203668100,FOR_PROD,S05012019E05312019,1680
'380002058248,CHEM_PET,S09012019E09302019,1680
